GTIN|GLNofDataSupplier|NameOfDataSupplier|BaseUnit|NumberOfBaseUnitContained|ItemNameLongML_language_EN|ItemNameLongML_language_RU|ItemName_language_EN|ItemName_language_RU|DespatchUnit|OrderingUnit|ConsumerUnit|GLNofManufacturer|ManufacturersName|Content|ContentUnitOfMeasure|GrossWeightFNFTSS|GrossWeightUnitOfMeasure|NetWeight|NetWeightUnitOfMeasure|BasePriceDeclarationRelevant|VAT_RU|BrandNameML_language_EN|BrandNameML_language_RU|PLUDescriptionML_language_EN|PLUDescriptionML_language_RU|GPC|CountryOfOrigin|PackagingTypeFNF|MeasurementTradeItemHeight|MeasurementTradeItemHeightUnitOfMeasure|MeasurementTradeItemLengthDepth|MeasurementTradeItemLengthDepthUnitOfMeasure|MeasurementTradeItemWidth|MeasurementTradeItemWidthUnitOfMeasure|GTINofNextLowerPackagingItem|NumberOfNextLowerItemContained|PalletDataPalletTypeFNF|GTINCodedPallet|PalletDataPalletHandling|NumberOfLayersPerPallet|PalletDataPalletLoadingHeight|StorageStackingFactor|PalletDataPalletGrossWeight|SubBrand|NetVolume|NetVolumeUnitOfMeasure|functionalsHealthClaims|technoChemicalProperties|GTINofAssortmentComponent|ContentAssortmentNumberOfComponents|MarketingNameML_language_RU|ItemNameShortML_language_RU|VariableMeasureTradeItem|CountryOfLastProvenance|ColourSupplierNoCode|ColourColourCodeListAgency|RFIDSupport|PalletDataNumberOfDespatchUnitsPerPallet|BasePriceRelevantContent|BasePriceRelevantContentUnitOfMeasure|GTINofItemSubstitutedFor|InternalItemIDofSupplier|ItemName_language_EL|CataloguePriceOfInvoiceUnit|CataloguePriceCurrency|CataloguePricePriceBasis|CataloguePricePriceBasisUnitOfMeasure|certificateOfQualityNumber|certificateOfQualityStartDate|certificateOfQualityEndDate|DangerousGoodsLimitedQuantities|DrainedWeight|DrainedWeightUnitOfMeasure|GeneticalInformation|MinimumDurabilityFromProduction|MinimumDurabilityFromProductionTimeUnit|NutritionalValueReferenceValue|GrossCalorificValueKJ|ConvenienceLevel|nutritionalContentValueUnitOfMeasure|ENumberCode|MinimumDurabilityFromOpening|MinimumDurabilityFromOpeningTimeUnit|nutritionalCompositionCode|nutritionalCompositionPercentage|rawMaterialUsed|rawMaterialUsedUnitOfMeasure|RecommendedSalesPrice|RecommendedSalesPriceCurrency|ItemName_language_AR|BatchNumbered|TemperatureMinStorage|TemperatureMaxStorage|TemperatureUnitOfMeasure|CommodityNomenclatureOfForeign-economicActivity|RussianClassificationOfProductsByEconomicActivities|RussianClassificationOfProducts|PricingSegment|ItemName_language_BR|BrandNameML_language_AR|GTINofBaseUnit|FunctionalName_language_EN|variant|variantLanguage|NonPublicGLNList|dietaryInformation|StartValidityDateOfAddVersion|FunctionalName_language_RU|handlingInstructionCode|MinimumOrderQuantity|RackJobber|MinimumDurabilityFromArrival|MinimumDurabilityFromArrivalTimeUnit
42142812|4610316576304||BI|1||  CHOCOLATE VINNI DISNEY|  CHOCOLATE VINNI DISNEY|ШОКОЛАДНЫЙ ВИННИ ДИСНЕЙ|N|N|Y|4607099827691|Rubezahl|1|PCE|30|GRM|||Y|60||Дисней|||10000597|DE|APE|70|MMT|40|MMT|50|MMT|||||||||||||||||||N|DE|||N|||||||||||||||25|GRM|X13|15|802|HGM|2237|CL5|GRM|||||||||||||||||||||||||||||||||
4018905153956|4610316576304||PI|96|||||Y|Y|Y|||||||||||||||||CT|||440|MMT|400|MMT|42142812|96|203|Y|RUP|10|1800|1|3820||||||||||||||||||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4018905153802|4610316576304||PI|3|||||N|N|Y|||||110|GRM|||||||||||CT|75|MMT|45|MMT|140|MMT|42142812|3|||||||||||||||||||||||||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4000281756500|4610316576304||BI|1||400 Chocolate Assortment||400г Шоколадные конфеты Ассорти|N|N|Y|4000281756500|Piasten|1|PCE|180|GRM|||Y|60|||||10000597|DE|CT|70|MMT|180|MMT|240|MMT|||||||||||||||||||N|DE|||N|||||756||||||||||400|GRM||||||||||||||||||||||||||||||||||||||||
4000281756005|4610316576304||PI|6|||||Y|Y|Y|||||||||||||||||CT|||180|MMT|585|MMT|4000281756500|6|200|Y|RUP|33|1500|1|3800||||||||||||||||||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4000446001018|4610316576304||BI|1||Mestermacher Pumpernickel 500|Mestermacher Pumpernickel 500|Махер Вестфальский хлеб 500г|N|N|Y|4000446001018|Mestermacher |1|PCE|270|GRM|||Y|59||Местемахер|||10000165|DE|UVQ|90|MMT|50|MMT|110|MMT|||||||||||||||||||N|DE|||N|||||1901||||||||||500|GRM|X13|1|801|HGM|782|CL5|GRM||5|804||||||||||||||||||||||||||||||
4000446020019|4610316576304||PI|12|||||Y|Y|Y|||||6900|GRM|||||||||||CT|215|MMT|160|MMT|250|MMT|4000446001018|12|CP1||RUP||1250|2||||||||||||||||105|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4000446001025|4610316576304||BI|1||Mestermacher Pumpernickel 250|Mestermacher Pumpernickel 250|Махер Вестфальский хлеб 250г|N|N|Y|4000446001025|Mestermacher |1|PCE|270|GRM|||Y|59||Местемахер|||10000165|DE|UVQ|90|MMT|40|MMT|110|MMT|||||||||||||||||||N|DE|||N|||||2001||||||||||250|GRM|X13|1|801|HGM|782|CL5|GRM||5|804||||||||||||||||||||||||||||||
4000446020026|4610316576304||PI|11|||||Y|Y|Y|||||3300|GRM|||||||||||CT|90|MMT|385|MMT|115|MMT|4000446001025|11|CP1||RUP||1020|2||||||||||||||||190|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4000446001056|4610316576304||BI|1||Mestermacher Vollkorn250|Mestermacher Vollkorn 250|Махер Ржаной хлеб 250г|N|N|Y|4000446001056|Mestermacher |1|PCE|270|GRM|||Y|59||Местемахер|||10000165|DE|UVQ|35|MMT|105|MMT|85|MMT|||||||||||||||||||N|DE|||N|||||5001||||||||||250|GRM|X13|1|801|HGM|742|CL5|GRM||5|804||||||||||||||||||||||||||||||
