GTIN,BaseUnit,NetWeight,NetWeightUnitOfMeasure
47400000018,BI,0.061,KGM
47400179707,BI,0.019,KGM
30047400179708,PI,0.228,KGM
10047400179704,PI,1.368,KGM
5013965126727,PI,98.496,KGM
3014260144876,BI,0.015,KGM
3014260410568,PI,0.2,KGM
3014260635411,PI,8,KGM
5013965101311,PI,96,KGM
5013965295829,PI,96,KGM
3014260219949,BI,0.075,KGM
3014260228842,BI,0.2,KGM
3014260239091,BI,0.005,KGM
3014260408367,PI,0.1,KGM
3014260629168,PI,10,KGM
5013965200397,PI,200,KGM
3014260243531,BI,0.02,KGM
7702018963867,PI,0.2,KGM
3014260409807,PI,0.2,KGM
7702018032761,PI,0.2,KGM
3014260649173,PI,8,KGM
5013965295805,PI,128,KGM
5013965101816,PI,128,KGM
5013965453588,PI,123.2,KGM
7702018032778,PI,0.8,KGM
5013965558825,PI,128,KGM
3014260243548,BI,0.04,KGM
7702018032785,PI,0.4,KGM
3014260409814,PI,0.4,KGM
7702018957910,PI,0.4,KGM
3014260649135,PI,8,KGM
5013965101793,PI,192,KGM
5013965407611,PI,192,KGM
5013965442117,PI,192,KGM
7702018032792,PI,1.6,KGM
5013965558849,PI,192,KGM
3014260243555,BI,0.075,KGM
3014260409821,PI,0.45,KGM
3014260649203,PI,2.7,KGM
5013965101823,PI,94.5,KGM
5013965552618,PI,94.5,KGM
3014260244873,BI,0.01,KGM
7702018032846,PI,0.1,KGM
7702018032853,PI,0.4,KGM
5013965558900,PI,48,KGM
3014260244897,BI,0.015,KGM
3014260410582,PI,0.15,KGM
3014260635435,PI,0.6,KGM
5013965341564,PI,86.4,KGM
5013965101335,PI,86.4,KGM
3014260244910,BI,0.009,KGM
3014260410605,PI,0.09,KGM
3014260635459,PI,0.36,KGM
5013965101359,PI,51.84,KGM
3014260245689,BI,0.043,KGM
3014260410919,PI,0.258,KGM
3014260636067,PI,1.548,KGM
5013965101380,PI,108.36,KGM
3014260245832,BI,0.03,KGM
3014260410995,PI,0.3,KGM
3014260636296,PI,6,KGM
5013965101441,PI,126,KGM
3014260246693,BI,0.032,KGM
3014260411572,PI,0.384,KGM
3014260637316,PI,3.072,KGM
5013965396229,PI,69.12,KGM
5013965396205,PI,69.12,KGM
5013965101496,PI,61.44,KGM
5013965480744,PI,69.12,KGM
3014260247898,BI,0.009,KGM
3014260412296,PI,0.09,KGM
3014260639853,PI,3.6,KGM
5013965101564,PI,43.2,KGM
3014260248642,BI,0.018,KGM
3014260422455,PI,0.432,KGM
3014260664770,PI,2.592,KGM
5013965480751,PI,62.208,KGM
5013965413780,PI,62.208,KGM
5013965102912,PI,62.208,KGM
3014260251970,BI,0.022,KGM
3014260414436,PI,0.24,KGM
7702018032723,PI,0.22,KGM
3014260649180,PI,9.6,KGM
5013965295782,PI,153.6,KGM
5013965511523,PI,153.6,KGM
5013965552700,PI,153.6,KGM
7702018032730,PI,0.88,KGM
5013965558788,PI,14.08,KGM
3014260260354,BI,0.043,KGM
3014260417796,PI,0.258,KGM
3014260653170,PI,1.548,KGM
5013965102141,PI,85.14,KGM
3014260260996,BI,0.003,KGM
3014260418014,PI,0.06,KGM
3014260653781,PI,6,KGM
5013965227820,PI,120,KGM
3014260262693,BI,0.112,KGM
3014260418663,PI,0.672,KGM
3014260655013,PI,1.344,KGM
5013965055607,PI,82.8,KGM
5013965445682,PI,80.64,KGM
5013965445637,PI,80.64,KGM
5013965445675,PI,82.8,KGM
5013965299568,PI,80.64,KGM
3014260262709,BI,0.028,KGM
3014260418670,PI,0.28,KGM
3014260655020,PI,1.12,KGM
5013965299582,PI,112,KGM
5013965055614,PI,112,KGM
5013965295904,PI,112,KGM
3014260263331,BI,0.007,KGM
6001017003897,PI,0.084,KGM
16001017004112,PI,2.016,KGM
5013965126956,PI,40.32,KGM
3014260264505,BI,0.018,KGM
3014260419233,PI,0.18,KGM
3014260656539,PI,0.72,KGM
5013965295881,PI,96,KGM
5013965299575,PI,72,KGM
5013965102455,PI,72,KGM
3014260265861,BI,0.024,KGM
3014260657727,PI,0.96,KGM
5013965102516,PI,47.04,KGM
3014260265885,BI,0.008,KGM
3014260689025,PI,4.608,KGM
5013965105012,PI,36.864,KGM
3014260269142,BI,0.05,KGM
3014260660994,PI,0.6,KGM
5013965013355,PI,183.6,KGM
3014260272913,BI,0.038,KGM
3014260422493,PI,0.228,KGM
3014260664879,PI,0.456,KGM
5013965102943,PI,54.72,KGM
3014260274856,BI,0.106,KGM
3014260423247,PI,0.636,KGM
3014260666484,PI,3.816,KGM
5013965055706,PI,133.56,KGM
3014260274917,BI,0.032,KGM
3014260423261,PI,0.32,KGM
3014260666507,PI,12.8,KGM
5013965103094,PI,204.8,KGM
3014260275143,BI,0.022,KGM
3014260423377,PI,0.22,KGM
7702018032747,PI,0.22,KGM
3014260666699,PI,8.8,KGM
5013965552779,PI,140.8,KGM
5013965295744,PI,140.8,KGM
5013965103100,PI,140.8,KGM
7702018032754,PI,0.88,KGM
5013965558801,PI,140.8,KGM
3014260276607,BI,0.06,KGM
3014260431174,PI,0.6,KGM
3014260692469,PI,3.6,KGM
5013965014680,PI,172.8,KGM
3014260281458,BI,0.045,KGM
3014260426217,PI,0.27,KGM
3014260672317,PI,1.62,KGM
5013965103520,PI,56.7,KGM
3014260282684,BI,0.025,KGM
3014260691240,PI,0.6,KGM
7702018854134,PI,0.075,KGM
7702018997831,PI,0.075,KGM
7702018977093,PI,0.075,KGM
7702018977109,PI,0.6,KGM
5013965473616,PI,54,KGM
7702018854158,PI,0.6,KGM
5013965122361,PI,54,KGM
7702018997848,PI,0.6,KGM
5013965509780,PI,54,KGM
5013965105371,PI,54,KGM
5013965511448,PI,54,KGM
3014260282691,BI,0.012,KGM
7702018977116,PI,0.063,KGM
7702018854165,PI,0.063,KGM
3014260691233,PI,0.6,KGM
7702018997855,PI,0.036,KGM
7702018997862,PI,0.468,KGM
5013965509797,PI,16.38,KGM
5013965239076,PI,29.4,KGM
7702018977123,PI,0.819,KGM
5013965473623,PI,28.665,KGM
7702018854189,PI,0.819,KGM
5013965122378,PI,28.665,KGM
3014260282707,BI,0.005,KGM
3014260426866,PI,0.12,KGM
3014260691257,PI,2.88,KGM
5013965105401,PI,46.08,KGM
3014260283254,BI,0.04,KGM
3014260674663,PI,0.96,KGM
5013965103728,PI,69.12,KGM
3014260284329,BI,0.075,KGM
3014260286545,BI,0.015,KGM
7702018961825,PI,0.3,KGM
3014260427788,PI,0.3,KGM
5013965448577,PI,168,KGM
3014260678265,PI,6,KGM
5013965104084,PI,168,KGM
3014260286552,BI,0.012,KGM
3014260427795,PI,0.24,KGM
7702018970179,PI,0.24,KGM
3014260678272,PI,4.8,KGM
5013965104091,PI,134.4,KGM
7702018959624,PI,4.8,KGM
5013965445620,PI,134.4,KGM
3014260289287,BI,0.035,KGM
3014260680480,PI,0.84,KGM
5013965104336,PI,60.48,KGM
3014260290108,BI,0.027,KGM
3014260681357,PI,1.08,KGM
5013965104411,PI,52.92,KGM
5013965104404,PI,37.8,KGM
3014260295486,BI,0.075,KGM
3014260296872,BI,0.015,KGM
3014260430320,PI,0.18,KGM
3014260689469,PI,2.16,KGM
5013965105166,PI,38.88,KGM
3014260298111,BI,0.072,KGM
3014260431167,PI,0.72,KGM
3014260692452,PI,4.32,KGM
5013965014673,PI,207.36,KGM
3014260302337,BI,0.024,KGM
3014260431938,PI,0.24,KGM
3014260694364,PI,9.6,KGM
5013965295867,PI,115.2,KGM
5013965014826,PI,115.2,KGM
3014260302351,BI,0.022,KGM
3014260431952,PI,0.22,KGM
3014260694388,PI,8.8,KGM
5013965105616,PI,105.6,KGM
5013965295843,PI,115.2,KGM
3014260303679,BI,0.024,KGM
3014260695309,PI,0.96,KGM
5013965105715,PI,67.2,KGM
3014260305154,BI,0.043,KGM
3014260433017,PI,0.258,KGM
3014260696542,PI,1.548,KGM
5013965057120,PI,85.14,KGM
3014260306373,BI,0.016,KGM
3014260437763,PI,0.16,KGM
3014260710415,PI,0.64,KGM
5013965107658,PI,64,KGM
5013965295942,PI,64,KGM
5013965299858,PI,72,KGM
3014260307493,BI,0.107,KGM
3014260433864,PI,0.642,KGM
3014260699048,PI,1.284,KGM
5013965057243,PI,77.04,KGM
5013965445705,PI,77.04,KGM
5013965299612,PI,80.64,KGM
5013965445712,PI,80.64,KGM
3014260307509,BI,0.028,KGM
3014260433871,PI,0.28,KGM
3014260699055,PI,1.12,KGM
5013965295928,PI,128,KGM
5013965299841,PI,112,KGM
5013965057250,PI,128,KGM
3014260313388,BI,0.048,KGM
3014260703639,PI,1.152,KGM
5013965106880,PI,80.64,KGM
3014260323226,BI,0.028,KGM
3014260439095,PI,0.28,KGM
3014260714994,PI,11.2,KGM
5013965057908,PI,179.2,KGM
3014260324827,BI,0.073,KGM
3014260440145,PI,0.438,KGM
3014260717223,PI,2.628,KGM
5013965108846,PI,78.84,KGM
5013965295232,PI,78.84,KGM
3014260324834,BI,0.022,KGM
3014260440152,PI,0.22,KGM
3014260717230,PI,8.8,KGM
5013965295768,PI,140.8,KGM
5013965019555,PI,140.8,KGM
3014260324841,BI,0.024,KGM
3014260440169,PI,0.24,KGM
7702018963874,PI,0.24,KGM
5013965453571,PI,147.84,KGM
3014260717247,PI,9.6,KGM
5013965108853,PI,153.6,KGM
3014260327217,BI,0.04,KGM
3014260440800,PI,0.24,KGM
3014260720445,PI,1.44,KGM
5013965299865,PI,72,KGM
5013965445729,PI,72,KGM
5013965109225,PI,72,KGM
3014260330033,BI,0.445,KGM
7702018836574,PI,2.67,KGM
