|Item description|functional||brand|subbrand|variant|content|content_uom
1|Абрикос "Good Food" Малиновка сушеный 1000г пакет|Абрикос|1|Good Food||Малиновка сушеный|1,000|г
2|Абрикос "Good food" 200 г|Абрикос|0|Good Food|||200|г
3|Абрикос "Good food" 450 г|Абрикос|0|Good Food|||450|г
4|Абрикос "Seeberger" Экстра мягкий 200 г|Абрикос|0|Seeberger||Экстра мягкий|200|г
5|Абрикос экстра "Good food" 1000 г. пл/б|Абрикос|0|Good Food||экстра|1,000|г
6|Аджика "Верес" острая 530 г ст/б|Аджика|1|Верес||острая|530|г
7|Аджика "Верес" по-грузински 325 г ст/б|Аджика|0|Верес||по-грузински|325|г
8|Азу "Сытоедов" с рисом 350 г|Азу|1|Сытоедов||с рисом|350|г
9|Амилан "Баги" крахмал для одежды 2 в 1 1л|Амилан|1|Баги||крахмал для одежды|1|л
10|Ананас "Good food" кусочками 150 г|Ананас|1|Good Food||кусочками|150|г
11|Ананас "Seeberger" кусочками 200 г|Ананас|0|Seeberger||кусочками|200|г
12|Ананасы "Del Monte" в сиропе кусочками 432 г ж/б|Ананасы|1|Del Monte||в сиропе кусочками|432|г
13|Ананасы "Del Monte" в сиропе шайбами 432 г ж/б|Ананасы|0|Del Monte||в сиропе шайбами|432|г
14|Ананасы "Del Monte" в сиропе шайбами 836 г ж/б|Ананасы|0|Del Monte||в сиропе шайбами|836|г
15|Ананасы "Mikado" в сиропе шайбами 580 гр ж/б|Ананасы|0|Mikado||в сиропе шайбами|580|г
16|Ананасы "Дядя Ваня" в сиропе кусочками 565 г ж/б|Ананасы|0|Дядя Ваня||в сиропе кусочками|565|г
17|Антистатик "Баги" Premium Cпрей с запахом духов Kenzo 200 мл|Антистатик|1|Баги||Premium Cпрей с запахом духов Kenzo|200|мл
18|Арахис "Good food" жареный с солью 150 г|Арахис|1|Good Food||жареный с солью|150|г
19|Арахис "Good food" жареный с солью 450 г|Арахис|0|Good Food||жареный с солью|450|г
20|Арахис "Джаз" обжарен. с солью 150 г|Арахис|0|Джаз||обжарен. с солью|150|г
21|Арахис "Джаз" обжарен. с солью 40 г|Арахис|0|Джаз||обжарен. с солью|40|г
22|Ассорти "Big family" печенье и вафли 500 г пакет|Ассорти|1|Big family||печенье и вафли|500|г
23|Баклажаны "Верес" в аджике 530 г ст/б|Баклажаны|1|Верес||в аджике|530|г
24|Баклажаны "Верес" жареные с овощами 515 г ст/б|Баклажаны|0|Верес||жареные с овощами|515|г
25|Балык "Венский" (Озерецкий) 150 г нарезка|Балык|1|Венский|||150|г
26|Балык "Клинский" с/к 120 г нарезка|Балык|0|Клинский||с/к|120|г
27|Бальзам "Pril" POWER д/мытья посуды Лимон 500 мл|Бальзам д/мытья посуды |1|Pril|POWER|Лимон|500|мл
28|Бальзам "Pril" POWER д/мытья посуды Свежесть 500 мл|Бальзам д/мытья посуды |0|Pril|POWER|Свежесть|500|мл
29|Бальзам "Pril" POWER д/мытья посуды Яблоко 500 мл|Бальзам д/мытья посуды |0|Pril|POWER|Яблоко|500|мл
30|Бальзам "Pril" д/мытья посуды Кальций 500 мл|Бальзам д/мытья посуды |0|Pril||Кальций|500|мл
31|Бальзам "Pril" д/мытья посуды с алоэ-вера 500 мл|Бальзам д/мытья посуды |0|Pril||с алоэ-вера|500|мл
32|Бальзам "Pril" д/мытья посуды с минералами 500 мл|Бальзам д/мытья посуды |0|Pril||с минералами|500|мл
33|Бананы "Seeberger" сушеные кусочками 200 г пакет|Бананы|1|Seeberger||сушеные кусочками|200|г
34|Баранина "Сытоедов" тушеная с баклажанами и картофелем 350 г карт/кор|Баранина|1|Сытоедов||тушеная с баклажанами и картофелем|350|г
35|Баранки с ванилью "Семейка Озби" 300 г|Баранки с ванилью|1|Семейка Озби|||300|г
36|Баранки с маком "Семейка Озби" 300 г|Баранки с маком|1|Семейка Озби|||300|г
37|БАТОНЧИК "SCHWARTAU" CORNY BIG апельсин/темный шоколад 50 г|БАТОНЧИК|1|SCHWARTAU|CORNY BIG|апельсин/темный шоколад|50|г
38|БАТОНЧИК "SCHWARTAU" CORNY BIG банан/шоколад 50 г|БАТОНЧИК|0|SCHWARTAU|CORNY BIG|банан/шоколад|50|г
39|БАТОНЧИК "SCHWARTAU" CORNY BIG клюква 50 г|БАТОНЧИК|0|SCHWARTAU|CORNY BIG|клюква|50|г
40|БАТОНЧИК "SCHWARTAU" CORNY BIG орех 50 г|БАТОНЧИК|0|SCHWARTAU|CORNY BIG|орех|50|г
41|БАТОНЧИК "SCHWARTAU" CORNY BIG орех/изюм 50 г|БАТОНЧИК|0|SCHWARTAU|CORNY BIG|орех/изюм|50|г
